date,page_path,page_title,sessions,pageviews,avg_session_duration,bounce_rate,new_users,conversions,revenue
2026-04-01,/,ホーム,1250,1890,00:02:15,0.62,820,12,48000
2026-04-01,/services,サービス一覧,430,610,00:03:42,0.45,280,8,32000
2026-04-01,/blog/ai-automation,AI自動化ガイド,890,1120,00:04:30,0.38,620,5,0
2026-04-01,/contact,お問い合わせ,210,230,00:01:55,0.71,140,22,88000
2026-04-01,/case-studies,事例紹介,320,480,00:05:10,0.32,210,3,12000
2026-04-02,/,ホーム,1180,1750,00:02:08,0.64,790,10,40000
2026-04-02,/services,サービス一覧,390,560,00:03:38,0.47,255,6,24000
2026-04-02,/blog/ai-automation,AI自動化ガイド,1240,1580,00:04:45,0.35,890,7,0
2026-04-02,/contact,お問い合わせ,195,215,00:01:50,0.73,130,19,76000
2026-04-02,/case-studies,事例紹介,290,420,00:05:05,0.34,185,2,8000
2026-04-03,/,ホーム,1320,2010,00:02:22,0.60,870,14,56000
2026-04-03,/services,サービス一覧,460,650,00:03:50,0.43,300,9,36000
2026-04-03,/blog/ai-automation,AI自動化ガイド,980,1280,00:04:35,0.37,710,6,0
2026-04-03,/contact,お問い合わせ,230,255,00:02:00,0.69,155,25,100000
2026-04-03,/case-studies,事例紹介,340,510,00:05:20,0.30,225,4,16000
2026-04-04,/,ホーム,980,1480,00:02:05,0.66,640,9,36000
2026-04-04,/services,サービス一覧,330,470,00:03:30,0.49,215,5,20000
2026-04-04,/blog/ai-automation,AI自動化ガイド,1560,2050,00:04:55,0.33,1120,9,0
2026-04-04,/contact,お問い合わせ,170,185,00:01:45,0.75,115,17,68000
2026-04-04,/case-studies,事例紹介,265,390,00:04:55,0.36,170,2,8000
2026-04-05,/,ホーム,890,1340,00:02:00,0.68,580,8,32000
2026-04-05,/services,サービス一覧,300,425,00:03:25,0.51,195,4,16000
2026-04-05,/blog/ai-automation,AI自動化ガイド,2100,2780,00:05:10,0.29,1540,12,0
2026-04-05,/contact,お問い合わせ,155,170,00:01:40,0.77,105,15,60000
2026-04-05,/case-studies,事例紹介,240,355,00:04:50,0.38,155,1,4000
2026-04-06,/,ホーム,750,1120,00:01:55,0.70,490,7,28000
2026-04-06,/services,サービス一覧,260,370,00:03:20,0.53,170,3,12000
2026-04-06,/blog/ai-automation,AI自動化ガイド,1890,2490,00:05:05,0.31,1380,10,0
2026-04-06,/contact,お問い合わせ,135,148,00:01:35,0.79,90,13,52000
2026-04-06,/case-studies,事例紹介,215,318,00:04:45,0.40,140,1,4000
2026-04-07,/,ホーム,680,1020,00:01:50,0.72,445,6,24000
2026-04-07,/services,サービス一覧,235,334,00:03:15,0.55,153,3,12000
2026-04-07,/blog/ai-automation,AI自動化ガイド,1720,2250,00:05:00,0.33,1260,9,0
2026-04-07,/contact,お問い合わせ,122,134,00:01:30,0.81,82,11,44000
2026-04-07,/case-studies,事例紹介,195,288,00:04:40,0.42,127,1,4000
2026-04-08,/,ホーム,1290,1950,00:02:18,0.61,845,13,52000
2026-04-08,/services,サービス一覧,445,635,00:03:45,0.44,290,8,32000
2026-04-08,/blog/ai-automation,AI自動化ガイド,920,1195,00:04:32,0.36,665,6,0
2026-04-08,/contact,お問い合わせ,220,242,00:01:58,0.70,148,23,92000
2026-04-08,/case-studies,事例紹介,330,495,00:05:15,0.31,218,3,12000
2026-04-09,/,ホーム,1350,2045,00:02:25,0.59,885,15,60000
2026-04-09,/services,サービス一覧,470,668,00:03:55,0.42,308,10,40000
2026-04-09,/blog/ai-automation,AI自動化ガイド,1050,1365,00:04:38,0.36,758,7,0
2026-04-09,/contact,お問い合わせ,240,265,00:02:05,0.68,162,26,104000
2026-04-09,/case-studies,事例紹介,355,532,00:05:25,0.29,234,4,16000
2026-04-10,/,ホーム,1420,2155,00:02:30,0.58,930,16,64000
2026-04-10,/services,サービス一覧,490,698,00:04:00,0.41,320,11,44000
2026-04-10,/blog/ai-automation,AI自動化ガイド,1120,1458,00:04:42,0.35,808,8,0
2026-04-10,/contact,お問い合わせ,255,282,00:02:10,0.67,172,28,112000
2026-04-10,/case-studies,事例紹介,370,555,00:05:30,0.28,244,5,20000
2026-04-11,/,ホーム,1100,1660,00:02:12,0.63,720,11,44000
2026-04-11,/services,サービス一覧,375,535,00:03:40,0.46,245,7,28000
2026-04-11,/blog/ai-automation,AI自動化ガイド,1680,2185,00:04:50,0.34,1215,10,0
2026-04-11,/contact,お問い合わせ,205,226,00:01:52,0.71,138,21,84000
2026-04-11,/case-studies,事例紹介,310,465,00:05:08,0.33,205,3,12000
2026-04-12,/,ホーム,920,1385,00:02:02,0.65,600,8,32000
2026-04-12,/services,サービス一覧,315,448,00:03:28,0.50,205,5,20000
2026-04-12,/blog/ai-automation,AI自動化ガイド,2250,2960,00:05:15,0.28,1650,14,0
2026-04-12,/contact,お問い合わせ,178,196,00:01:48,0.74,120,18,72000
2026-04-12,/case-studies,事例紹介,272,405,00:04:58,0.37,178,2,8000
2026-04-13,/,ホーム,820,1230,00:01:58,0.67,535,7,28000
2026-04-13,/services,サービス一覧,280,398,00:03:22,0.52,183,4,16000
2026-04-13,/blog/ai-automation,AI自動化ガイド,1980,2600,00:05:08,0.30,1452,11,0
2026-04-13,/contact,お問い合わせ,160,176,00:01:42,0.76,108,16,64000
2026-04-13,/case-studies,事例紹介,248,368,00:04:52,0.39,162,1,4000
2026-04-14,/,ホーム,740,1110,00:01:52,0.71,483,6,24000
2026-04-14,/services,サービス一覧,252,358,00:03:18,0.54,164,3,12000
2026-04-14,/blog/ai-automation,AI自動化ガイド,1820,2380,00:05:02,0.32,1335,10,0
2026-04-14,/contact,お問い合わせ,145,160,00:01:38,0.78,98,14,56000
2026-04-14,/case-studies,事例紹介,225,333,00:04:47,0.41,147,1,4000
2026-04-15,/,ホーム,1380,2090,00:02:28,0.59,903,15,60000
2026-04-15,/services,サービス一覧,475,677,00:03:58,0.42,310,10,40000
